Name,Latitude,Longitude,Description,Foursquare URL
La Pâtisserie by Cyril Lignac,48.852820860210706,2.38532439926796,"From Foursquare list: 11th Arrondissement, 2018",https://app.foursquare.com/v/la-p%C3%A2tisserie-by-cyril-lignac/4ed241b98231b9ef8ac69d56
Bar Martin,,,"From Foursquare list: 11th Arrondissement, 2018",https://app.foursquare.com/v/bar-martin/548c8b5c498eff940216227a
Clown Bar,,,"From Foursquare list: 11th Arrondissement, 2018",https://app.foursquare.com/v/clown-bar/4af8633bf964a520c90c22e3
Aux Deux Amis,,,"From Foursquare list: 11th Arrondissement, 2018",https://app.foursquare.com/v/aux-deux-amis/4c0a94a6340720a1b2ab8693
Le Petit Keller,,,"From Foursquare list: 11th Arrondissement, 2018",https://app.foursquare.com/v/le-petit-keller/4c0ea589d64c0f470189285d
Restaurant Astier,48.866241791325926,2.3720464570886914,"From Foursquare list: 11th Arrondissement, 2018",https://app.foursquare.com/v/restaurant-astier/4adcda14f964a520513721e3
Aux deux cygnes,,,"From Foursquare list: 11th Arrondissement, 2018",https://app.foursquare.com/v/aux-deux-cygnes/53ab3d23498ecfdaecd93814
Muscovado,,,"From Foursquare list: 11th Arrondissement, 2018",https://app.foursquare.com/v/muscovado/57a064a2498e71bdc1a4b392
Place Pas de Loup,,,"From Foursquare list: 11th Arrondissement, 2018",https://app.foursquare.com/v/place-pas-de-loup/55edb1b3498e32ce2c3da834
Le Servan,,,"From Foursquare list: 11th Arrondissement, 2018",https://app.foursquare.com/v/le-servan/534e7fc1498e475c9cf55c6d
Septime,48.85299979394042,2.3790286774801266,"From Foursquare list: 11th Arrondissement, 2018",https://app.foursquare.com/v/septime/4dc1490a22713750ba78c198
La Cave de Septime,,,"From Foursquare list: 11th Arrondissement, 2018",https://app.foursquare.com/v/la-cave-de-septime/50edcbb9e4b0f4e820906b4e
Clamato,,,"From Foursquare list: 11th Arrondissement, 2018",https://app.foursquare.com/v/clamato/527d495611d201ce6ba8fb48
Fulgurances,,,"From Foursquare list: 11th Arrondissement, 2018",https://app.foursquare.com/v/fulgurances/562b7821498efaeee3059e89
Le Repaire de Cartouche,,,"From Foursquare list: 11th Arrondissement, 2018",https://app.foursquare.com/v/le-repaire-de-cartouche/4dcee73dd4c065592f8b5b67
Mokonuts,,,"From Foursquare list: 11th Arrondissement, 2018",https://app.foursquare.com/v/mokonuts/569f4db6498ed057ee115a54
Ten Belles Bread,48.857545759177775,2.373615224922661,"From Foursquare list: 11th Arrondissement, 2018",https://app.foursquare.com/v/ten-belles-bread/57960f25498e6d2956024aad
Chambelland,,,"From Foursquare list: 11th Arrondissement, 2018",https://app.foursquare.com/v/chambelland/537bb47f498e262a54b4b665
Yard,,,"From Foursquare list: 11th Arrondissement, 2018",https://app.foursquare.com/v/yard/4c0b9021a1b32d7f6d2a9bf0
Chez Aline,,,"From Foursquare list: 11th Arrondissement, 2018",https://app.foursquare.com/v/chez-aline/50543808c84c7e50721da3a6
Louie Louie,,,"From Foursquare list: 11th Arrondissement, 2018",https://app.foursquare.com/v/louie-louie/564f964b498e03abff0be2ab
Atelier des Lumières,48.861813626611685,2.3812621567247665,"From Foursquare list: 11th Arrondissement, 2018",https://app.foursquare.com/v/atelier-des-lumi%C3%A8res/5ad06f59febf316801ad0305
Paris Saint-Bière  ,,,"From Foursquare list: 11th Arrondissement, 2018",https://app.foursquare.com/v/paris-saintbi%C3%A8re-/50a68565e4b0540fe03b01ff
Paris Hanoï,,,"From Foursquare list: 11th Arrondissement, 2018",https://app.foursquare.com/v/paris-hano%C3%AF/4b3b4436f964a520fa7125e3
La Chocolaterie Cyril Lignac,,,"From Foursquare list: 11th Arrondissement, 2018",https://app.foursquare.com/v/la-chocolaterie-cyril-lignac/56f69923cd10c43c48b836f5
Boulangerie bo,,,"From Foursquare list: 11th Arrondissement, 2018",https://app.foursquare.com/v/boulangerie-bo/57656338498ead027e792fed
